pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0801,T160-A,T160-B,TECH_160,TECH_160,Technology,easy,paraphrase,Home Security Startup Warden Launches AI Camera System,"Home security startup Warden launched a new AI-powered camera system Thursday, capable of distinguishing between people, pets, and vehicles to reduce false alarms.",Warden Debuts AI Camera System for Smarter Home Security,"Warden introduced a home security camera system this week that uses AI to tell people, pets, and vehicles apart, aiming to cut down on false alerts.",2026-04-01,2026-04-01,"Austin, USA","Austin, USA",Warden; AI camera system,Warden; AI camera launch,SAME_EVENT,Both articles describe the same Warden AI camera launch with identical detection features on the same date.
P0802,T160-C,T160-A,TECH_160,TECH_160,Technology,medium,different_source,First Look: Warden's New AI Security Camera,"Early testers of Warden's newly launched camera system say the false-alarm reduction is noticeable, reviewers reported this week, though the subscription cost drew some criticism.",Home Security Startup Warden Launches AI Camera System,"Home security startup Warden launched a new AI-powered camera system Thursday, capable of distinguishing between people, pets, and vehicles to reduce false alarms.",2026-04-03,2026-04-01,"Austin, USA","Austin, USA",Warden; subscription cost,Warden; AI camera system,SAME_EVENT,A hands-on review covering the same camera launch reported days earlier.
P0803,T160-A,T161-A,TECH_160,TECH_161,Technology,easy,same_entity_different_event,Home Security Startup Warden Launches AI Camera System,"Home security startup Warden launched a new AI-powered camera system Thursday, capable of distinguishing between people, pets, and vehicles to reduce false alarms.",Warden Recalls Earlier Doorbell Camera Over Battery Defect,"Warden issued a recall Tuesday for an earlier doorbell camera model after reports of battery overheating, unrelated to its newly launched AI camera system.",2026-04-01,2026-08-01,"Austin, USA","Austin, USA",Warden; camera launch,Warden; doorbell recall,DIFFERENT_EVENT,"Same company, but launching a new camera system and recalling an unrelated older doorbell model months later are separate events."
P0804,T160-A,T162-A,TECH_160,TECH_162,Technology,medium,same_topic_different_event,Home Security Startup Warden Launches AI Camera System,"Home security startup Warden launched a new AI-powered camera system Thursday, capable of distinguishing between people, pets, and vehicles to reduce false alarms.",Rival Firm Sentrywatch Launches Competing AI Camera,"Competitor Sentrywatch introduced its own AI-powered security camera Sunday, entering a product category recently targeted by a rival company.",2026-04-01,2026-04-08,"Austin, USA",Undisclosed,Warden; AI camera,Sentrywatch; AI camera,DIFFERENT_EVENT,"Both are AI security camera launches within days of each other, but from two unrelated, competing companies."
P0805,T163-A,T164-A,TECH_163,TECH_164,Technology,medium,follow_up,Major Cloud Provider Suffers Regional Outage,"A major cloud provider suffered a regional outage Monday, disrupting services for thousands of businesses that rely on its data centers in the affected zone.",Cloud Provider Restores Service After Regional Outage,"The cloud provider restored full service Friday to the region affected by Monday's outage, following several days of intermittent disruptions.",2026-05-01,2026-05-05,Undisclosed,Undisclosed,cloud provider; regional outage,cloud provider; service restored,SAME_EVENT,The service restoration is a direct continuation of the same regional outage described in the first article.
P0806,T163-A,T165-A,TECH_163,TECH_165,Technology,hard,different_incident,Major Cloud Provider Suffers Regional Outage,"A major cloud provider suffered a regional outage Monday, disrupting services for thousands of businesses that rely on its data centers in the affected zone.",Separate Outage Hits Different Cloud Provider,"A different cloud provider experienced its own outage Tuesday, unrelated to the earlier disruption at a different company two weeks prior.",2026-05-01,2026-05-15,Undisclosed,Undisclosed,cloud provider; outage,different cloud provider; outage,DIFFERENT_EVENT,"Both are cloud outage stories with similar framing, but they involve two entirely different providers and are unrelated incidents two weeks apart."
P0807,T160-B,T166-A,TECH_160,TECH_166,Technology,hard,same_entities_different_date,Warden Debuts AI Camera System for Smarter Home Security,"Warden introduced a home security camera system this week that uses AI to tell people, pets, and vehicles apart, aiming to cut down on false alerts.",Warden Launches Second-Generation AI Camera a Year Later,"Warden introduced a second-generation AI camera system Saturday, a year after its original launch, adding facial recognition for known visitors.",2026-04-01,2027-04-01,"Austin, USA","Austin, USA",Warden; original AI camera,Warden; second-gen camera,DIFFERENT_EVENT,"Same company and product line, but the original launch and the second-generation release a year later are distinct product events."
P0808,T167-A,T168-A,TECH_167,TECH_168,Technology,medium,follow_up,Robotics Firm Vantor Announces Warehouse Automation Breakthrough,"Robotics firm Vantor announced Wednesday a breakthrough in warehouse automation, claiming its new robotic arm can sort packages twice as fast as existing systems.",Vantor Signs Deployment Deal With Logistics Giant,"Vantor signed a deployment deal Tuesday with a major logistics company, four months after announcing its warehouse automation breakthrough.",2026-02-01,2026-06-01,Undisclosed,Undisclosed,Vantor; automation breakthrough,Vantor; deployment deal,SAME_EVENT,The deployment deal is a direct continuation of the same automation breakthrough described in the first article.
P0809,T167-B,T167-A,TECH_167,TECH_167,Technology,hard,different_detail_level,Inside Vantor's Warehouse Automation Breakthrough,"The robotic arm Vantor unveiled this week uses a new vision system that identifies package dimensions and fragility markers in real time, engineers explained, a capability the company says eliminates much of the manual calibration required by competing systems. Independent robotics researchers who reviewed early demonstrations said the sorting speed claims appeared credible under controlled conditions, though they cautioned that real-world warehouse environments often introduce variables that reduce performance. Vantor said it plans to begin pilot deployments with select logistics partners before pursuing broader commercial rollout.",Robotics Firm Vantor Announces Warehouse Automation Breakthrough,"Robotics firm Vantor announced Wednesday a breakthrough in warehouse automation, claiming its new robotic arm can sort packages twice as fast as existing systems.",2026-02-03,2026-02-01,Undisclosed,Undisclosed,Vantor; technical details,Vantor; automation breakthrough,SAME_EVENT,The second article gives extensive technical detail about the same breakthrough briefly reported in the first.
P0810,T164-A,T165-A,TECH_164,TECH_165,Technology,very_hard,same_topic_different_event,Cloud Provider Restores Service After Regional Outage,"The cloud provider restored full service Friday to the region affected by Monday's outage, following several days of intermittent disruptions.",Separate Outage Hits Different Cloud Provider,"A different cloud provider experienced its own outage Tuesday, unrelated to the earlier disruption at a different company two weeks prior.",2026-05-05,2026-05-15,Undisclosed,Undisclosed,cloud provider; service restored,different cloud provider; outage,DIFFERENT_EVENT,"Both concern cloud infrastructure outages in the same general period, but the restoration relates to the original provider's outage while the second article is an unrelated outage at a different provider."
