pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0701,T120-A,T120-B,TECH_120,TECH_120,Technology,easy,paraphrase,Drone Delivery Firm Skypath Launches Suburban Service,"Drone delivery company Skypath launched commercial service in a suburban market Thursday, promising 15-minute delivery for small packages within a five-mile radius.",Skypath Begins Drone Deliveries in Suburban Market,"Skypath began offering drone delivery service this week in a suburban area, targeting 15-minute delivery windows for lightweight packages.",2026-04-01,2026-04-01,"Suburban Denver, USA","Suburban Denver, USA",Skypath; drone delivery launch,Skypath; drone delivery service,SAME_EVENT,Both articles describe the same Skypath drone delivery launch with identical delivery windows on the same date.
P0702,T120-C,T120-A,TECH_120,TECH_120,Technology,medium,different_source,What to Expect From Skypath's New Drone Service,"Skypath's newly launched drone delivery service will initially handle only packages under five pounds, the company confirmed this week, with plans to expand capacity later this year.",Drone Delivery Firm Skypath Launches Suburban Service,"Drone delivery company Skypath launched commercial service in a suburban market Thursday, promising 15-minute delivery for small packages within a five-mile radius.",2026-04-03,2026-04-01,"Suburban Denver, USA","Suburban Denver, USA",Skypath; package weight limits,Skypath; drone delivery launch,SAME_EVENT,A capability-focused follow-up covering the same drone delivery launch reported days earlier.
P0703,T120-A,T121-A,TECH_120,TECH_121,Technology,easy,same_entity_different_event,Drone Delivery Firm Skypath Launches Suburban Service,"Drone delivery company Skypath launched commercial service in a suburban market Thursday, promising 15-minute delivery for small packages within a five-mile radius.",Skypath Grounds Fleet After Separate Safety Incident,"Skypath temporarily grounded its drone fleet Tuesday following an unrelated incident in a different market, unrelated to its recent suburban service launch.",2026-04-01,2026-08-01,"Suburban Denver, USA",Different market,Skypath; service launch,Skypath; fleet grounding,DIFFERENT_EVENT,"Same company, but launching a new service and grounding its fleet over an unrelated incident months later are separate events."
P0704,T120-A,T122-A,TECH_120,TECH_122,Technology,medium,same_topic_different_event,Drone Delivery Firm Skypath Launches Suburban Service,"Drone delivery company Skypath launched commercial service in a suburban market Thursday, promising 15-minute delivery for small packages within a five-mile radius.",Rival Firm AeroDash Launches Competing Drone Service,"Competitor AeroDash launched its own drone delivery service Sunday, entering a suburban market recently targeted by a rival company's similar offering.",2026-04-01,2026-04-08,"Suburban Denver, USA",Undisclosed,Skypath; drone delivery,AeroDash; drone delivery,DIFFERENT_EVENT,"Both are drone delivery service launches within days of each other, but from two unrelated, competing companies."
P0705,T123-A,T124-A,TECH_123,TECH_124,Technology,medium,follow_up,Major Software Vulnerability Discovered in Widely Used Library,"Security researchers disclosed a critical vulnerability Monday in a widely used open-source software library, urging developers to patch affected systems immediately.",Patch Released for Critical Software Vulnerability,"Maintainers released a patch Wednesday for the critical vulnerability disclosed earlier in the week, urging all users of the affected library to update immediately.",2026-06-01,2026-06-03,Undisclosed,Undisclosed,software vulnerability; disclosure,software vulnerability; patch release,SAME_EVENT,The patch release is a direct continuation of the same vulnerability disclosure described in the first article.
P0706,T123-A,T125-A,TECH_123,TECH_125,Technology,hard,different_incident,Major Software Vulnerability Discovered in Widely Used Library,"Security researchers disclosed a critical vulnerability Monday in a widely used open-source software library, urging developers to patch affected systems immediately.",Separate Vulnerability Discovered in Different Library,"A different security team disclosed an unrelated vulnerability Friday in a separate software library, distinct from the critical flaw reported earlier in the week.",2026-06-01,2026-06-15,Undisclosed,Undisclosed,software vulnerability; library,different vulnerability; different library,DIFFERENT_EVENT,"Both are software vulnerability disclosures from the same general period with similar framing, but they involve two entirely different libraries and separate security teams."
P0707,T120-B,T126-A,TECH_120,TECH_126,Technology,hard,same_entities_different_date,Skypath Begins Drone Deliveries in Suburban Market,"Skypath began offering drone delivery service this week in a suburban area, targeting 15-minute delivery windows for lightweight packages.",Skypath Launches Drone Service in Second Suburban Market a Year Later,"Skypath expanded its drone delivery service to a second suburban market Saturday, a year after its original launch, using an upgraded aircraft design.",2026-04-01,2027-04-01,"Suburban Denver, USA",Different suburban market,Skypath; original drone service,Skypath; second market launch,DIFFERENT_EVENT,"Same company and service type, but the original launch and the second-market expansion a year later are distinct rollout events."
P0708,T127-A,T128-A,TECH_127,TECH_128,Technology,medium,follow_up,Battery Startup Ionis Announces Solid-State Breakthrough,"Battery startup Ionis announced Wednesday a breakthrough in solid-state battery manufacturing, claiming a process that could cut production costs by 30 percent.",Ionis Signs Manufacturing Deal With Automaker,"Ionis signed a manufacturing partnership Tuesday with a major automaker, four months after announcing its solid-state battery breakthrough.",2026-02-01,2026-06-01,Undisclosed,Undisclosed,Ionis; battery breakthrough,Ionis; automaker partnership,SAME_EVENT,The manufacturing partnership is a direct continuation of the same battery breakthrough described in the first article.
P0709,T127-B,T127-A,TECH_127,TECH_127,Technology,hard,different_detail_level,Inside Ionis' Solid-State Manufacturing Breakthrough,"The manufacturing process Ionis unveiled this week replaces a costly high-temperature sintering step with a room-temperature pressing technique, engineers explained, a change the company says is responsible for the bulk of the projected cost savings. Independent battery researchers who reviewed early data said the approach appears promising but cautioned that scaling any new manufacturing process to mass production often reveals unforeseen challenges. Ionis said it plans to build a pilot production line within the next year to validate the process at a larger scale before pursuing commercial partnerships.",Battery Startup Ionis Announces Solid-State Breakthrough,"Battery startup Ionis announced Wednesday a breakthrough in solid-state battery manufacturing, claiming a process that could cut production costs by 30 percent.",2026-02-03,2026-02-01,Undisclosed,Undisclosed,Ionis; manufacturing process details,Ionis; battery breakthrough,SAME_EVENT,The second article gives extensive technical detail about the same breakthrough briefly reported in the first.
P0710,T124-A,T125-A,TECH_124,TECH_125,Technology,very_hard,same_topic_different_event,Patch Released for Critical Software Vulnerability,"Maintainers released a patch Wednesday for the critical vulnerability disclosed earlier in the week, urging all users of the affected library to update immediately.",Separate Vulnerability Discovered in Different Library,"A different security team disclosed an unrelated vulnerability Friday in a separate software library, distinct from the critical flaw reported earlier in the week.",2026-06-03,2026-06-15,Undisclosed,Undisclosed,software vulnerability; patch release,different vulnerability; different library,DIFFERENT_EVENT,"Both concern software security patches in the same general period, but the patch release relates to the original library vulnerability while the second article is an unrelated flaw in a different library."
