pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0001,T001-A,T001-B,TECH_001,TECH_001,Technology,easy,paraphrase,NovaTech Unveils Orion AI Processor,"NovaTech unveiled its new Orion processor on Monday, positioning the chip as a major step toward running advanced AI workloads directly on consumer devices. Executives said the chip's on-device inference capability would reduce reliance on cloud computing for everyday tasks like photo editing and voice assistants. The announcement was made at a press event in San Francisco attended by industry analysts and hardware partners.","NovaTech Introduces Orion, a Chip Built for On-Device AI","The semiconductor company NovaTech has introduced Orion, a processor designed to handle artificial-intelligence tasks locally rather than relying entirely on cloud servers. Speaking at a launch event in San Francisco, chief executive Lena Ford said the chip would appear in laptops and tablets beginning next quarter. Analysts noted the move as part of a broader industry shift toward local AI processing.",2026-08-10,2026-08-10,"San Francisco, USA","San Francisco, USA",NovaTech; Orion processor; Lena Ford,NovaTech; Orion; Lena Ford,SAME_EVENT,"Both articles describe NovaTech's launch of the Orion processor at the same San Francisco event on the same date, using different wording and structure."
P0002,T001-C,T001-D,TECH_001,TECH_001,Technology,medium,different_source,"At SF Event, NovaTech Shows Off Latest Silicon","At an event in San Francisco, NovaTech presented the company's latest silicon platform, emphasizing faster on-device AI processing. The chip, later confirmed to be named Orion, was demonstrated running real-time image generation without an internet connection.",NovaTech's New Chip Aims to Bring AI Off the Cloud,"NovaTech has released details of a processor built to run AI models on the device itself. The company's engineering team said the design cuts latency significantly compared to cloud-based alternatives, a claim demonstrated during a hands-on session for reporters.",2026-08-10,2026-08-10,"San Francisco, USA","San Francisco, USA",NovaTech; Orion,NovaTech; on-device processor,SAME_EVENT,"Different outlets covering the identical Orion unveiling, one focused on the live demo and the other on technical framing, with no shared sentences."
P0003,T001-A,T002-A,TECH_001,TECH_002,Technology,hard,same_entities_different_date,NovaTech Unveils Orion AI Processor,"NovaTech unveiled its new Orion processor on Monday, positioning the chip as a major step toward running advanced AI workloads directly on consumer devices. Executives said the chip's on-device inference capability would reduce reliance on cloud computing for everyday tasks like photo editing and voice assistants. The announcement was made at a press event in San Francisco attended by industry analysts and hardware partners.","NovaTech Debuts Orion 2, Successor Chip a Year Later","NovaTech introduced the Orion 2 processor on Friday, a successor to last year's original Orion chip. The company said the new version doubles neural-processing throughput and adds support for on-device video generation. The launch took place at the same San Francisco venue NovaTech has used for prior hardware reveals, with CEO Lena Ford calling it 'the next chapter' for the company's AI silicon line.",2026-08-10,2027-08-14,"San Francisco, USA","San Francisco, USA",NovaTech; Orion; Lena Ford,NovaTech; Orion 2; Lena Ford,DIFFERENT_EVENT,"Same company, same venue, nearly identical vocabulary and a follow-on product name, but the two articles describe separate launch events a year apart for different chip generations."
P0004,T001-B,T004-A,TECH_001,TECH_001,Technology,medium,breaking_update,"NovaTech Introduces Orion, a Chip Built for On-Device AI","The semiconductor company NovaTech has introduced Orion, a processor designed to handle artificial-intelligence tasks locally rather than relying entirely on cloud servers. Speaking at a launch event in San Francisco, chief executive Lena Ford said the chip would appear in laptops and tablets beginning next quarter. Analysts noted the move as part of a broader industry shift toward local AI processing.",NovaTech Shares Climb on Positive Orion Reception,"Shares of NovaTech rose more than 6 percent Tuesday as investors reacted favorably to the company's Orion processor announcement earlier in the week. Analysts pointed to strong early interest from device makers as a reason for the rally, with several brokerages raising their price targets on the stock following the unveiling.",2026-08-10,2026-08-12,"San Francisco, USA","New York, USA",NovaTech; Orion,NovaTech; investors; Orion,SAME_EVENT,The second article is market reaction directly tied to the same Orion announcement described in the first; both are part of the same unfolding event.
P0005,T001-C,T003-A,TECH_001,TECH_003,Technology,easy,same_entity_different_event,"At SF Event, NovaTech Shows Off Latest Silicon","At an event in San Francisco, NovaTech presented the company's latest silicon platform, emphasizing faster on-device AI processing. The chip, later confirmed to be named Orion, was demonstrated running real-time image generation without an internet connection.",NovaTech Acquires Cybersecurity Startup Sentinel Grid,"NovaTech announced Wednesday it has acquired Sentinel Grid, an Austin-based cybersecurity startup, for an undisclosed sum. The deal is expected to bolster NovaTech's efforts to secure its growing lineup of AI-enabled devices against emerging threats. Sentinel Grid's roughly 40 employees will join NovaTech's security division.",2026-08-10,2026-09-02,"San Francisco, USA","Austin, USA",NovaTech; Orion,NovaTech; Sentinel Grid,DIFFERENT_EVENT,"Same company appears in both articles, but one is a product launch and the other is an unrelated acquisition weeks later."
P0006,T005-A,T006-A,TECH_005,TECH_006,Technology,medium,follow_up,Washington Announces New Semiconductor Export Restrictions,"The federal government on Wednesday announced sweeping new restrictions on the export of advanced semiconductor manufacturing equipment, citing national security concerns. Officials said the rules target technology that could be used to build cutting-edge AI chips abroad. The measures take effect within 90 days.",Chipmakers Begin Adjusting Supply Chains After Export Rule,"Several major chipmakers said this week they are reworking supplier agreements in response to the newly announced export restrictions. Industry groups warned the changes could raise costs and slow shipments, while some firms said they were exploring manufacturing alternatives outside affected regions.",2026-07-01,2026-07-05,"Washington, D.C., USA","Various, USA",federal government; semiconductor export rules,chipmakers; supply chains,DIFFERENT_EVENT,"The second article describes industry response actions taken independently by companies days later; it is a distinct downstream development, not the same announcement event."
P0007,T008-A,T009-A,TECH_008,TECH_009,Technology,hard,different_incident,DataVault Confirms Breach Exposing Customer Records,"Software firm DataVault confirmed Tuesday that hackers accessed a database containing personal information for roughly 2 million customers. The company said passwords were encrypted but names, emails and phone numbers were exposed. DataVault has notified affected users and is working with a forensic security firm.",Helio Systems Discloses Separate Data Breach,"Cloud storage provider Helio Systems disclosed Wednesday that an unauthorized party gained access to internal servers, exposing account metadata for a subset of business customers. The company said the intrusion appears unrelated to recent incidents at other tech firms and has engaged outside investigators.",2026-05-20,2026-05-28,"Chicago, USA","Denver, USA",DataVault; data breach,Helio Systems; data breach,DIFFERENT_EVENT,"Both are data-breach stories in the same week with nearly identical framing, but they involve two different companies and separate incidents."
P0008,T007-A,T007-B,TECH_007,TECH_007,Technology,medium,different_source,CloudSphere Services Down Amid Widespread Outage,CloudSphere experienced a major outage Monday morning that knocked out services for thousands of businesses relying on its platform. The company said engineers were working to identify the root cause. Users reported being unable to access dashboards or run automated workflows for several hours.,What Caused Monday's CloudSphere Disruption,"An internal routing error triggered the cascading failure that took down large portions of CloudSphere's infrastructure earlier this week, according to a post-incident report the company published Thursday. The misconfiguration, pushed during a routine update, propagated across multiple data centers before engineers were able to roll it back, extending the disruption for enterprise customers already frustrated by a lack of early communication. CloudSphere said it is implementing additional safeguards, including staged rollouts and automated rollback triggers, to prevent a similar failure in the future.",2026-06-15,2026-06-18,"Seattle, USA","Seattle, USA",CloudSphere; outage,CloudSphere; routing error,SAME_EVENT,One article is breaking coverage of the outage as it happened; the other is a later analytical piece explaining the root cause of that same outage.
P0009,T010-A,T011-A,TECH_010,TECH_011,Technology,hard,same_entities_different_date,BrightWave Launches 2026 Flagship Smartphone,"BrightWave introduced its 2026 flagship smartphone Thursday at an event in Tokyo, featuring an upgraded camera system and a redesigned chassis. The company said pre-orders would open next week, with shipments beginning in September.",BrightWave Reveals 2027 Smartphone Lineup,"BrightWave unveiled its 2027 smartphone lineup at a Tokyo launch event, introducing a thinner design and a new imaging chip. Company representatives said the lineup builds on feedback from the previous year's model.",2026-09-01,2027-09-01,"Tokyo, Japan","Tokyo, Japan",BrightWave; smartphone,BrightWave; smartphone,DIFFERENT_EVENT,"Same company, same city, nearly identical structure, but the articles describe two separate annual product launches a year apart."
P0010,T012-A,T013-A,TECH_012,TECH_013,Technology,very_hard,same_entities_different_date,TechConnect 2025 Opens in Berlin,"The annual TechConnect conference opened in Berlin on Tuesday, drawing thousands of attendees from the software and hardware industries. This year's keynote focused on advances in edge computing and energy-efficient chip design.",Berlin Hosts TechConnect Once Again,"TechConnect returned to Berlin this week for its latest edition, with organizers reporting record attendance. Sessions this year emphasized sustainable data-center design, a shift from last year's focus on edge computing.",2025-10-14,2026-10-13,"Berlin, Germany","Berlin, Germany",TechConnect conference,TechConnect conference,DIFFERENT_EVENT,"Same recurring conference, same city, overlapping vocabulary about the tech industry, but the two articles report on separate annual editions a year apart, requiring the reader to catch the subtle thematic and date cues."
P0011,P001-A,P001-B,POL_001,POL_001,Politics,easy,paraphrase,PM Marsh Holds Talks With EU Leaders in Brussels,"Prime Minister Elena Marsh met with senior European Union officials in Brussels on Wednesday to discuss deepening economic cooperation. The talks touched on energy security and cross-border regulatory alignment, according to a readout from Marsh's office.","Marsh, EU Officials Discuss Cooperation in Brussels Meeting","During a visit to Brussels, Elena Marsh sat down with leaders of the European Union to discuss expanding trade ties. Officials described the meeting as constructive, with both sides agreeing to continue talks on regulatory alignment in the coming months.",2026-03-04,2026-03-04,"Brussels, Belgium","Brussels, Belgium",Elena Marsh; European Union,Elena Marsh; European Union,SAME_EVENT,"Both articles report the same Brussels meeting between Marsh and EU leaders on the same date, with reworded sentences."
