"pair_id","article_a_id","article_b_id","event_a_id","event_b_id","category","difficulty","relationship_type","article_a_title","article_a_text","article_b_title","article_b_text","date_a","date_b","location_a","location_b","entities_a","entities_b","ground_truth","reason"
"P0401","T050-A","T050-B","TECH_050","TECH_050","Technology","easy","paraphrase","Vertiq Labs Introduces Lattice Camera Module for Edge AI","Vertiq Labs on Monday introduced Lattice, a camera module that runs object-recognition models directly on the sensor board rather than streaming footage to a server. The company said the part targets warehouse operators and retail chains that struggle with bandwidth limits at their sites. Chief technology officer Hana Brill told reporters in Austin that early units would reach industrial customers before any wider release.","Austin Firm Puts AI Recognition Inside the Camera Itself","A new imaging component from Vertiq Labs performs video analysis on the device, a design the company argues will cut both latency and network costs for large facilities. The module, called Lattice, was shown at a briefing in Austin where engineers demonstrated it counting pallets in a mock loading bay. Vertiq said industrial buyers would receive the first shipments.","2026-09-14","2026-09-14","Austin, USA","Austin, USA","Vertiq Labs; Lattice module; Hana Brill","Vertiq Labs; Lattice","SAME_EVENT","Both describe the same Lattice module introduction in Austin on the same date, with different structure, emphasis and vocabulary."
"P0402","T050-C","T050-D","TECH_050","TECH_050","Technology","medium","different_source","Vertiq Bets on Cameras That Think for Themselves","Facing customers who cannot afford to pipe every frame of video to a data centre, Vertiq Labs has built a module that keeps the analysis local. The company described a part that identifies objects on board and forwards only summaries. Pricing was not disclosed, though Vertiq indicated volume contracts would be negotiated individually.","Vertiq Shows Off Local Video Analysis Hardware","Engineers at Vertiq Labs walked reporters through a compact board that pairs an image sensor with a small inference accelerator. During the session the unit tracked moving crates and flagged misplaced ones without a network connection. Vertiq executives framed the product as a response to rising cloud bills among logistics operators.","2026-09-14","2026-09-14","Austin, USA","Austin, USA","Vertiq Labs; on-board inference module","Vertiq Labs; inference accelerator board","SAME_EVENT","Two outlets covering the identical Austin briefing, one leading on cost rationale and the other on the live demonstration, with no shared phrasing and neither naming the product the same way."
"P0403","T050-A","T051-A","TECH_050","TECH_051","Technology","medium","same_entity_different_event","Vertiq Labs Introduces Lattice Camera Module for Edge AI","Vertiq Labs on Monday introduced Lattice, a camera module that runs object-recognition models directly on the sensor board rather than streaming footage to a server. The company said the part targets warehouse operators and retail chains that struggle with bandwidth limits at their sites. Chief technology officer Hana Brill told reporters in Austin that early units would reach industrial customers before any wider release.","Vertiq Labs Buys Speech Startup Tonewell","Vertiq Labs has agreed to acquire Tonewell, a small speech-recognition developer, in a deal the buyer described as modest in size. Tonewell's fifteen engineers will join Vertiq's audio group in Austin, and the startup's noise-suppression work is expected to appear in future Vertiq hardware. Neither company disclosed financial terms.","2026-09-14","2026-09-29","Austin, USA","Austin, USA","Vertiq Labs; Lattice module; Hana Brill","Vertiq Labs; Tonewell","DIFFERENT_EVENT","Same company and city, but one article covers a product introduction and the other a separate acquisition two weeks later."
"P0404","T052-A","T052-B","TECH_052","TECH_052","Technology","medium","different_style","Kestrel Compute Ships Halcyon 3 Database Engine","Kestrel Compute released version three of its Halcyon database engine on Friday, adding native support for time-series workloads and a rewritten query planner. The Berlin company said the planner cuts execution time on complex joins by roughly half in its own benchmarks, though it declined to publish comparisons against competing systems. Existing customers can upgrade without changing schemas, according to chief executive Otto Behrend, who said compatibility had been a condition set by the company's largest accounts. Kestrel also confirmed that support for the previous major version continues for a further two years.","Halcyon 3: What Changed Under the Hood","The third major version of Halcyon arrives with a query planner rebuilt from scratch, and that rewrite is the headline for anyone running analytical workloads. Kestrel Compute has also folded time-series storage into the core engine instead of shipping it as a plugin. Migration remains schema-compatible, which should spare administrators a painful weekend.","2026-10-02","2026-10-04","Berlin, Germany","Berlin, Germany","Kestrel Compute; Halcyon 3; Otto Behrend","Kestrel Compute; Halcyon 3","SAME_EVENT","Straight news write-up and a technical analysis of the identical Halcyon 3 release, the analysis published two days after the release itself."
"P0405","T052-A","T053-A","TECH_052","TECH_053","Technology","hard","same_entities_different_date","Kestrel Compute Ships Halcyon 3 Database Engine","Kestrel Compute released version three of its Halcyon database engine on Friday, adding native support for time-series workloads and a rewritten query planner. The Berlin company said the planner cuts execution time on complex joins by roughly half in its own benchmarks, though it declined to publish comparisons against competing systems. Existing customers can upgrade without changing schemas, according to chief executive Otto Behrend, who said compatibility had been a condition set by the company's largest accounts. Kestrel also confirmed that support for the previous major version continues for a further two years.","Kestrel Compute Releases Halcyon 4 With Vector Search","Kestrel Compute has published Halcyon 4, the newest release of its database engine, adding built-in vector search and tighter replication controls. Chief executive Otto Behrend said the Berlin company had spent the past year on storage-layer work that customers had requested, particularly around cross-region replication where administrators previously relied on external tooling. As with the previous major version, Kestrel said upgrades require no schema rewrites, a commitment the company has now maintained across three releases. Vector search is implemented directly in the storage engine rather than as an extension, which Kestrel argues reduces the operational burden of running a separate index service alongside the primary database. Early access customers reported acceptable query performance at index sizes in the low billions, though Kestrel did not publish figures. The release is available immediately for self-hosted deployments and reaches the managed service next month. Support for Halcyon 3 continues for two years.","2026-10-02","2027-10-11","Berlin, Germany","Berlin, Germany","Kestrel Compute; Halcyon 3; Otto Behrend","Kestrel Compute; Halcyon 4; Otto Behrend","DIFFERENT_EVENT","Same company, same executive, same product line and near-identical framing, but these are two separate major releases a year apart."
"P0406","T054-A","T054-B","TECH_054","TECH_054","Technology","medium","breaking_update","Marrow Systems Confirms Customer Data Breach","Marrow Systems said Thursday it had detected unauthorised access to a customer database and was working with outside investigators. The Toronto software firm did not initially say how many accounts were involved. Support staff began contacting affected clients the same afternoon.","Marrow Breach Touched 4.2 Million Accounts, Company Says","Marrow Systems put a number on Thursday's intrusion later in the day, telling customers that roughly 4.2 million account records were exposed, including names, email addresses and hashed passwords. The Toronto company said payment details were held on a separate system that investigators believe was untouched. Notification emails went out in batches through the evening.","2026-11-05","2026-11-05","Toronto, Canada","Toronto, Canada","Marrow Systems; data breach","Marrow Systems; 4.2 million records; breach notification","SAME_EVENT","Initial disclosure and a same-day update quantifying the identical intrusion at the same company."
"P0407","T054-A","T055-A","TECH_054","TECH_055","Technology","hard","different_incident","Marrow Systems Confirms Customer Data Breach","Marrow Systems said Thursday it had detected unauthorised access to a customer database and was working with outside investigators. The Toronto software firm did not initially say how many accounts were involved. Support staff began contacting affected clients the same afternoon.","Ridgeline Cloud Discloses Intrusion Affecting Business Clients","Ridgeline Cloud has told business customers that an attacker gained access to an internal administration console last week. The Dublin hosting provider said no customer workloads appear to have been altered and that credentials have been rotated across the affected environment. An external forensics firm has been engaged.","2026-11-05","2026-11-13","Toronto, Canada","Dublin, Ireland","Marrow Systems; data breach; investigators","Ridgeline Cloud; administration console; forensics firm","DIFFERENT_EVENT","Two unrelated breach disclosures at different companies in different countries a week apart, sharing only incident vocabulary."
"P0408","T056-A","T056-B","TECH_056","TECH_056","Technology","hard","entity_normalization","Aurentian Digital Markets Authority Fines Panorai Over Consent Practices","The Aurentian Digital Markets Authority has imposed a fine of 340 million on the advertising technology firm Panorai, finding that its consent prompts pushed users toward accepting tracking. The regulator gave the company ninety days to redesign the prompts. Panorai said it was reviewing the decision.","Bloc Regulator Penalises Ad Firm Over Tracking Prompts","Aurentia's competition and data watchdog has penalised Panorai, ruling that the way the company asked for permission to track users amounted to an unfair design. The order requires changes within three months and carries a penalty in the hundreds of millions. The company indicated it may appeal.","2026-07-30","2026-07-30","Ellisport, Aurentia","Ellisport, Aurentia","Aurentian Digital Markets Authority; Panorai; consent prompts","Aurentia data watchdog; Panorai; tracking permission","SAME_EVENT","The same enforcement decision against the same firm on the same day, with the regulator referred to by its formal name in one article and descriptively in the other."
"P0409","T056-A","T057-A","TECH_056","TECH_057","Technology","very_hard","same_topic_different_event","Aurentian Digital Markets Authority Fines Panorai Over Consent Practices","The Aurentian Digital Markets Authority has imposed a fine of 340 million on the advertising technology firm Panorai, finding that its consent prompts pushed users toward accepting tracking. The regulator gave the company ninety days to redesign the prompts. Panorai said it was reviewing the decision.","Regulator Opens Investigation Into Panorai App Store Terms","Aurentia's digital markets regulator has opened a formal investigation into the terms Panorai imposes on developers distributing software through its store, focusing on commission rates and rules that limit outside payment links. The authority said the inquiry is separate from earlier proceedings involving the company. Panorai said it would cooperate.","2026-07-30","2026-08-18","Ellisport, Aurentia","Ellisport, Aurentia","Aurentian Digital Markets Authority; Panorai; consent prompts; fine","Aurentia digital markets regulator; Panorai; app store terms; investigation","DIFFERENT_EVENT","Same regulator and same company under the same broad regime, but one is a concluded fine over consent design and the other a newly opened probe into store terms."
"P0410","T058-A","T058-B","TECH_058","TECH_058","Technology","medium","different_detail_level","Quillon Semiconductor Opens Penang Plant","Quillon Semiconductor began production at a new packaging plant in Penang on Wednesday. The company said the site will employ about 1,800 people and serve customers seeking supply outside its home market.","Quillon Starts Output at Malaysian Packaging Site","Quillon Semiconductor has started running lines at its Penang facility, the company's first packaging operation outside its home market. Executives said hiring reached roughly 1,800 staff ahead of the opening, with training carried out over the preceding year at partner sites. State officials attended a ceremony at the plant, where Quillon said output would ramp gradually through the first half of next year rather than reaching full capacity immediately. The firm has been under pressure from customers seeking supply outside a single region.","2026-12-03","2026-12-03","Penang, Malaysia","Penang, Malaysia","Quillon Semiconductor; Penang plant","Quillon Semiconductor; Penang facility; state officials","SAME_EVENT","A brief wire item and a fuller report on the identical plant opening, differing only in depth of detail."
