pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0601,T080-A,T080-B,TECH_080,TECH_080,Technology,easy,paraphrase,Wearable Maker Pulseon Unveils Health-Tracking Ring,"Wearable technology company Pulseon unveiled a new health-tracking smart ring Thursday, capable of monitoring heart rate, sleep quality, and blood oxygen levels continuously throughout the day.",Pulseon Debuts Smart Ring for Continuous Health Monitoring,"Pulseon introduced a new smart ring this week that tracks heart rate, sleep, and blood oxygen around the clock, entering a wearables category increasingly crowded with health features.",2026-09-01,2026-09-01,"San Diego, USA","San Diego, USA",Pulseon; health-tracking ring,Pulseon; smart ring,SAME_EVENT,Both articles describe the same Pulseon smart ring unveiling with identical tracking features on the same date.
P0602,T080-C,T080-A,TECH_080,TECH_080,Technology,medium,different_source,Hands-On With Pulseon's New Health Ring,"Early testers of Pulseon's newly unveiled smart ring say battery life is the standout feature, with the company claiming up to seven days on a single charge, reviewers reported this week.",Wearable Maker Pulseon Unveils Health-Tracking Ring,"Wearable technology company Pulseon unveiled a new health-tracking smart ring Thursday, capable of monitoring heart rate, sleep quality, and blood oxygen levels continuously throughout the day.",2026-09-03,2026-09-01,"San Diego, USA","San Diego, USA",Pulseon; battery life,Pulseon; health-tracking ring,SAME_EVENT,A hands-on review covering the same ring unveiling reported days earlier.
P0603,T080-A,T081-A,TECH_080,TECH_081,Technology,easy,same_entity_different_event,Wearable Maker Pulseon Unveils Health-Tracking Ring,"Wearable technology company Pulseon unveiled a new health-tracking smart ring Thursday, capable of monitoring heart rate, sleep quality, and blood oxygen levels continuously throughout the day.",Pulseon Recalls Earlier Fitness Band Over Skin Irritation,"Pulseon issued a recall Tuesday for an earlier fitness band model after reports of skin irritation from some users, unrelated to its newly unveiled smart ring.",2026-09-01,2026-12-01,"San Diego, USA","San Diego, USA",Pulseon; smart ring launch,Pulseon; fitness band recall,DIFFERENT_EVENT,"Same company, but unveiling a new ring and recalling an unrelated older band months later are separate events."
P0604,T080-A,T082-A,TECH_080,TECH_082,Technology,medium,same_topic_different_event,Wearable Maker Pulseon Unveils Health-Tracking Ring,"Wearable technology company Pulseon unveiled a new health-tracking smart ring Thursday, capable of monitoring heart rate, sleep quality, and blood oxygen levels continuously throughout the day.",Rival Wearable Maker Ringly Unveils Competing Health Ring,"Competitor Ringly introduced its own health-tracking smart ring Sunday, entering a product category recently targeted by a rival wearable company.",2026-09-01,2026-09-08,"San Diego, USA",Undisclosed,Pulseon; smart ring,Ringly; smart ring,DIFFERENT_EVENT,"Both are smart ring launches within days of each other, but from two unrelated, competing companies."
P0605,T083-A,T084-A,TECH_083,TECH_084,Technology,medium,follow_up,Major Ransomware Attack Disrupts Port Operations,"A ransomware attack disrupted cargo operations at a major shipping port Monday, forcing terminal operators to switch to manual processing for several days.",Port Operations Return to Normal After Ransomware Attack,"Cargo processing returned to normal Friday at the shipping port hit by a ransomware attack earlier in the week, terminal operators confirmed.",2026-05-01,2026-05-05,Undisclosed,Undisclosed,shipping port; ransomware attack,shipping port; operations restored,SAME_EVENT,The restoration of normal operations is a direct continuation of the same ransomware incident described in the first article.
P0606,T083-A,T085-A,TECH_083,TECH_085,Technology,hard,different_incident,Major Ransomware Attack Disrupts Port Operations,"A ransomware attack disrupted cargo operations at a major shipping port Monday, forcing terminal operators to switch to manual processing for several days.",Separate Ransomware Attack Hits Different Port,"A different shipping port was hit by a separate ransomware attack Tuesday, unrelated to the earlier incident at another port two weeks prior.",2026-05-01,2026-05-15,Undisclosed,Different port,shipping port; ransomware attack,different port; ransomware attack,DIFFERENT_EVENT,"Both are port ransomware stories with similar framing, but they involve two entirely different ports and are unrelated incidents two weeks apart."
P0607,T080-B,T086-A,TECH_080,TECH_086,Technology,hard,same_entities_different_date,Pulseon Debuts Smart Ring for Continuous Health Monitoring,"Pulseon introduced a new smart ring this week that tracks heart rate, sleep, and blood oxygen around the clock, entering a wearables category increasingly crowded with health features.",Pulseon Unveils Second-Generation Health Ring a Year Later,"Pulseon introduced a second-generation smart ring Saturday, a year after its original model, adding continuous glucose trend estimation as a new feature.",2026-09-01,2027-09-01,"San Diego, USA","San Diego, USA",Pulseon; original smart ring,Pulseon; second-gen ring,DIFFERENT_EVENT,"Same company and product line, but the original ring launch and the second-generation release a year later are distinct product events."
P0608,T087-A,T088-A,TECH_087,TECH_088,Technology,medium,follow_up,Fusion Energy Startup Heliox Announces Test Reactor Milestone,"Fusion energy startup Heliox announced Wednesday it achieved a new plasma confinement milestone in its test reactor, a step the company says brings commercial fusion closer.",Heliox Secures Major Funding Following Reactor Milestone,"Heliox announced Tuesday it has raised $300 million in new funding, three months after reporting its plasma confinement milestone, to scale up its reactor design.",2026-03-01,2026-06-01,Undisclosed,Undisclosed,Heliox; reactor milestone,Heliox; funding round,SAME_EVENT,The funding round is a direct continuation of the same reactor milestone described in the first article.
P0609,T087-B,T087-A,TECH_087,TECH_087,Technology,hard,different_detail_level,What Heliox's Plasma Confinement Milestone Actually Means,"The plasma confinement milestone Heliox announced this week involved sustaining reaction conditions for over 300 seconds, company engineers explained, a duration significantly longer than the startup's previous best result and a key benchmark on the path toward net energy gain. Independent fusion researchers said the result, while not yet at the threshold needed for commercial viability, represents meaningful progress using the company's compact reactor design, which differs from larger government-funded projects. Heliox said it plans to use the milestone to support an upcoming funding round aimed at financing its next-generation test facility.",Fusion Energy Startup Heliox Announces Test Reactor Milestone,"Fusion energy startup Heliox announced Wednesday it achieved a new plasma confinement milestone in its test reactor, a step the company says brings commercial fusion closer.",2026-03-03,2026-03-01,Undisclosed,Undisclosed,Heliox; milestone details,Heliox; reactor milestone,SAME_EVENT,The second article gives extensive technical context about the same milestone briefly reported in the first.
P0610,T084-A,T085-A,TECH_084,TECH_085,Technology,very_hard,same_topic_different_event,Port Operations Return to Normal After Ransomware Attack,"Cargo processing returned to normal Friday at the shipping port hit by a ransomware attack earlier in the week, terminal operators confirmed.",Separate Ransomware Attack Hits Different Port,"A different shipping port was hit by a separate ransomware attack Tuesday, unrelated to the earlier incident at another port two weeks prior.",2026-05-05,2026-05-15,Undisclosed,Different port,shipping port; operations restored,different port; ransomware attack,DIFFERENT_EVENT,"Both concern port ransomware incidents in the same general period, but the restoration relates to the original port's attack while the second article is an unrelated attack on a different port."
